[SWEET 16]

    IDENTIFIER      THICKNESS    UNITS    FLAGS    SU #
 J16                  0.363       IN      M--G--   03  
 K01                  --.---      IN      L--G--   03  
 K02                  0.401       IN      M--G--   03  
 K03                  0.313       IN      M--G--   03  
 K04                  0.275       IN      M--G--   03  
 K05                  0.367       IN      M--G--   03  
 K06                  0.405       IN      M--G--   03  
 K07                  0.483       IN      M--G--   03  
 K08                  0.498       IN      M--G--   03  
 K09                  0.494       IN      M--G--   03  
 K10                  0.495       IN      M--G--   03  
 K11                  0.496       IN      M--G--   03  
 K12                  0.488       IN      M--G--   03  
 K13                  0.496       IN      M--G--   03  
 K14                  0.488       IN      M--G--   03  
 K15                  0.409       IN      M--G--   03  
 K16                  0.369       IN      M--G--   03  
 L01                  --.---      IN      L--G--   03  
 L02                  0.391       IN      M--G--   03  
 L03                  0.275       IN      M--G--   03  
 L04                  0.227       IN      M--G--   03  
 L05                  0.281       IN      M--G--   03  
 L06                  0.239       IN      M--G--   03  
 L07                  0.499       IN      M--G--   03  
 L08                  0.496       IN      M--G--   03  
 L09                  0.496       IN      M--G--   03  
 L10                  0.490       IN      M--G--   03  
 L11                  0.494       IN      M--G--   03  
 L12                  0.494       IN      M--G--   03  
 L13                  0.489       IN      M--G--   03  
 L14                  0.339       IN      M--G--   03  
 L15                  0.456       IN      M--G--   03  
 L16                  0.353       IN      M--G--   03  
 M01                  --.---      IN      L--G--   03  
 M02                  0.296       IN      M--G--   03  
 M03                  0.305       IN      M--G--   03  
 M04                  0.235       IN      M--G--   03  
 M05                  0.169       IN      M--G--   03  
 M06                  0.116       IN      M--G--   03  
 M07                  0.456       IN      M--G--   03  
 M08                  0.455       IN      M--G--   03  
 M09                  0.467       IN      M--G--   03  
 M10                  0.461       IN      M--G--   03  
 M11                  0.467       IN      M--G--   03  
 M12                  0.460       IN      M--G--   03  
 M13                  0.469       IN      M--G--   03  
 M14                  0.455       IN      M--G--   03  
 M15                  0.437       IN      M--G--   03  
 M16                  0.348       IN      M--G--   03  
 N01                  --.---      IN      L--G--   03  
 N02                  0.360       IN      M--G--   03  
 N03                  0.478       IN      M--G--   03  
 N04                  0.406       IN      M--G--   03  
 N05                  0.385       IN      M--G--   03  
 N06                  0.204       IN      M--G--   03  
 N07                  0.451       IN      M--G--   03  
 N08                  0.464       IN      M--G--   03  
 N09                  0.467       IN      M--G--   03  
 N10                  0.489       IN      M--G--   03  
 N11                  0.475       IN      M--G--   03  
 N12                  0.474       IN      M--G--   03  
 N13                  0.444       IN      M--G--   03  
 N14                  0.474       IN      M--G--   03  
 N15                  0.432       IN      M--G--   03  
 N16                  0.350       IN      M--G--   03  
 O01                  --.---      IN      L--G--   03  
 O02                  0.446       IN      M--G--   03  
 O03                  0.442       IN      M--G--   03  
 O04                  0.387       IN      M--G--   03  
 O05                  0.391       IN      M--G--   03  
 O06                  0.493       IN      M--G--   03  
 O07                  0.495       IN      M--G--   03  
 O08                  0.499       IN      M--G--   03  
 O09                  0.498       IN      M--G--   03  
 O10                  0.496       IN      M--G--   03  
 O11                  0.500       IN      M--G--   03  
 O12                  0.494       IN      M--G--   03  
 O13                  0.496       IN      M--G--   03  
 O14                  0.497       IN      M--G--   03  
 O15                  --.---      IN      L--G--   03  
 O16                  0.347       IN      M--G--   03  
 P01                  --.---      IN      L--G--   03  
 P02                  0.478       IN      M--G--   03  
 P03                  0.355       IN      M--G--   03  
 P04                  0.344       IN      M--G--   03  
 P05                  0.256       IN      M--G--   03  
 P06                  0.328       IN      M--G--   03  
 P07                  0.488       IN      M--G--   03  
 P08                  0.499       IN      M--G--   03  
 P09                  0.496       IN      M--G--   03  
 P10                  0.496       IN      M--G--   03  
 P11                  0.499       IN      M--G--   03  
 P12                  0.499       IN      M--G--   03  
 P13                  0.499       IN      M--G--   03  
 P14                  0.312       IN      M--G--   03  
 P15                  --.---      IN      L--G--   03  
 P16                  0.346       IN      M--G--   03  
 Q01                  --.---      IN      L--G--   03  
 Q02                  0.496       IN      M--G--   03  
 Q03                  0.404       IN      M--G--   03  
 Q04                  0.407       IN      M--G--   03  
 Q05                  0.487       IN      M--G--   03  
 Q06                  0.354       IN      M--G--   03  
 Q07                  0.500       IN      M--G--   03  
 Q08                  0.499       IN      M--G--   03  
 Q09                  0.498       IN      M--G--   03  
 Q10                  0.499       IN      M--G--   03  
 Q11                  0.498       IN      M--G--   03  
 Q12                  0.498       IN      M--G--   03  
 Q13                  0.497       IN      M--G--   03  
 Q14                  0.304       IN      M--G--   03  
 Q15                  --.---      IN      L--G--   03  
 Q16                  0.376       IN      M--G--   03  
 R01                  --.---      IN      L--G--   03  
 R02                  0.133       IN      M--G--   03  
 R03                  0.436       IN      M--G--   03  
 R04                  0.467       IN      M--G--   03  
 R05                  0.500       IN      M--G--   03  
 R06                  0.497       IN      M--G--   03  
 R07                  0.387       IN      M--G--   03  
 R08                  0.367       IN      M--G--   03  
 R09                  0.499       IN      M--G--   03  
 R10                  0.499       IN      M--G--   03  
 R11                  0.498       IN      M--G--   03  
 R12                  0.499       IN      M--G--   03  
 R13                  0.498       IN      M--G--   03  
 R14                  0.495       IN      M--G--   03  
 R15                  0.476       IN      M--G--   03  
 R16                  0.394       IN      M--G--   03  
 S01                  --.---      IN      L--G--   03  
 S02                  0.509       IN      M--G--   03  
 S03                  0.501       IN      M--G--   03  
 S04                  0.422       IN      M--G--   03  
 S05                  0.500       IN      M--G--   03  
 S06                  0.499       IN      M--G--   03  
 S07                  0.499       IN      M--G--   03  
 S08                  0.393       IN      M--G--   03  
 S09                  0.499       IN      M--G--   03  
 S10                  0.499       IN      M--G--   03  
 S11                  0.501       IN      M--G--   03  
 S12                  0.498       IN      M--G--   03  
 S13                  0.498       IN      M--G--   03  
 S14                  0.489       IN      M--G--   03  
 S15                  0.436       IN      M--G--   03  
 S16                  0.387       IN      M--G--   03  
 T01                  --.---      IN      L--G--   03  
 T02                  0.507       IN      M--G--   03  
 T03                  0.500       IN      M--G--   03  
 T04                  0.368       IN      M--G--   03  
 T05                  0.387       IN      M--G--   03  
 T06                  0.386       IN      M--G--   03  
 T07                  0.381       IN      M--G--   03  
 T08                  0.483       IN      M--G--   03  
 T09                  0.501       IN      M--G--   03  
 T10                  0.500       IN      M--G--   03  
 T11                  0.500       IN      M--G--   03  
 T12                  0.499       IN      M--G--   03  
 T13                  0.486       IN      M--G--   03  
 T14                  0.499       IN      M--G--   03  
 T15                  0.421       IN      M--G--   03  
 T16                  0.376       IN      M--G--   03  
 U01                  --.---      IN      L--G--   03  
 U02                  0.509       IN      M--G--   03  
 U03                  0.501       IN      M--G--   03  
 U04                  0.364       IN      M--G--   03  
 U05                  0.355       IN      M--G--   03  
 U06                  0.316       IN      M--G--   03  
 U07                  0.307       IN      M--G--   03  
 U08                  0.297       IN      M--G--   03  
 U09                  0.502       IN      M--G--   03  
 U10                  0.502       IN      M--G--   03  
 U11                  0.502       IN      M--G--   03  
 U12                  0.501       IN      M--G--   03  
 U13                  0.491       IN      M--G--   03  
 U14                  0.490       IN      M--G--   03  
 U15                  0.406       IN      M--G--   03  
 U16                  0.357       IN      M--G--   03  
 V01                  0.325       IN      M--G--   03  
 V02                  0.489       IN      M--G--   03  
 V03                  0.500       IN      M--G--   03  
 V04                  0.500       IN      M--G--   03  
 V05                  0.467       IN      M--G--   03  
 V06                  0.483       IN      M--G--   03  
 V07                  0.296       IN      M--G--   03  
 V08                  0.503       IN      M--G--   03  
 V09                  0.501       IN      M--G--   03  
 V10                  0.504       IN      M--G--   03  
 V11                  0.501       IN      M--G--   03  
 V12                  0.491       IN      M--G--   03  
 V13                  0.498       IN      M--G--   03  
 V14                  0.379       IN      M--G--   03  
 V15                  0.343       IN      M--G--   03  
 V16                  0.341       IN      M--G--   03  
 W01                  0.338       IN      M--G--   03  
 W02                  0.486       IN      M--G--   03  
 W03                  0.482       IN      M--G--   03  
 W04                  0.484       IN      M--G--   03  
 W05                  0.482       IN      M--G--   03  
 W06                  0.483       IN      M--G--   03  
 W07                  0.478       IN      M--G--   03  
 W08                  0.497       IN      M--G--   03  
 W09                  0.504       IN      M--G--   03  
 W10                  0.502       IN      M--G--   03  
 W11                  0.500       IN      M--G--   03  
 W12                  0.500       IN      M--G--   03  
 W13                  0.498       IN      M--G--   03  
