[CHILD]

  IDENTIFIER    THICKNESS    UNITS    FLAGS    SU #
 Q10              0.509       IN      M----    1  
 Q11              0.409       IN      M----    1  
 R01              0.455       IN      M----    1  
 R02              0.467       IN      M----    1  
 R03              0.449       IN      M----    1  
 R04              0.428       IN      M----    1  
 R05              0.509       IN      M----    1  
 R06              0.511       IN      M----    1  
 R07              0.512       IN      M----    1  
 R08              0.511       IN      M----    1  
 R09              0.509       IN      M----    1  
 R10              0.500       IN      M----    1  
 R11              0.389       IN      M----    1  
 S01              0.475       IN      M----    1  
 S02              0.404       IN      M----    1  
 S03              0.415       IN      M----    1  
 S04              0.445       IN      M----    1  
 S05              0.504       IN      M----    1  
 S06              0.503       IN      M----    1  
 S07              0.504       IN      M----    1  
 S08              0.505       IN      M----    1  
 S09              0.506       IN      M----    1  
 S10              0.507       IN      M----    1  
 S11              0.382       IN      M----    1  
 T01              0.293       IN      M----    1  
 T02              0.419       IN      M----    1  
 T03              0.483       IN      M----    1  
 T04              0.459       IN      M----    1  
 T05              0.465       IN      M----    1  
 T06              0.436       IN      M----    1  
 T07              0.469       IN      M----    1  
 T08              0.505       IN      M----    1  
 T09              0.479       IN      M----    1  
 T10              0.492       IN      M----    1  
 T11              0.393       IN      M----    1  
 U01              0.421       IN      M----    1  
 U02              0.451       IN      M----    1  
 U03              0.405       IN      M----    1  
 U04              0.419       IN      M----    1  
 U05              0.513       IN      M----    1  
 U06              0.513       IN      M----    1  
 U07              0.513       IN      M----    1  
 U08              0.516       IN      M----    1  
 U09              0.507       IN      M----    1  
 U10              0.508       IN      M----    1  
 U11              0.404       IN      M----    1  
 V01              0.447       IN      M----    1  
 V02              0.467       IN      M----    1  
 V03              0.416       IN      M----    1  
 V04              0.507       IN      M----    1  
 V05              0.513       IN      M----    1  
 V06              0.517       IN      M----    1  
 V07              0.511       IN      M----    1  
 V08              0.508       IN      M----    1  
 V09              0.511       IN      M----    1  
 V10              0.510       IN      M----    1  
 V11              0.450       IN      M----    1  
 W01              0.508       IN      M----    1  
 W02              0.513       IN      M----    1  
 W03              0.503       IN      M----    1  
 W04              0.511       IN      M----    1  
 W05              0.511       IN      M----    1  
 W06              0.521       IN      M----    1  
 W07              0.511       IN      M----    1  
 W08              0.509       IN      M----    1  
 W09              0.505       IN      M----    1  
 W10              0.511       IN      M----    1  
 W11              0.466       IN      M----    1  
 X01              0.500       IN      M----    1  
 X02              0.499       IN      M----    1  
 X03              0.505       IN      M----    1  
 X04              0.511       IN      M----    1  
 X05              0.511       IN      M----    1  
 X06              0.506       IN      M----    1  
 X07              0.505       IN      M----    1  
 X08              0.506       IN      M----    1  
 X09              0.506       IN      M----    1  
 X10              0.506       IN      M----    1  
 X11              0.416       IN      M----    1  
 OK

 SU #  VEL(/uS) DIFF   LO-ALM  HI-ALM  EXT-BLANK  UNITS  TRANSDUCER  GAIN dB
 1     0.2331   0.000  0.000   10.000    0.000     IN    D790/791       53 
 OK

Filename: 6500N2P.TXT
Operator: 
Location: 
Date: 09/23/2001
Time: 00:05
Probe ID: D790/791   for SU# 1
Comments: 





