[SWEET 16]

    IDENTIFIER      THICKNESS    UNITS    FLAGS    SU #
 L02                  0.392       IN      M-----   02  
 L03                  0.388       IN      M-----   02  
 L04                  0.384       IN      M-----   02  
 L05                  0.392       IN      M-----   02  
 L06                  0.430       IN      M-----   02  
 L07                  0.434       IN      M-----   02  
 L08                  0.427       IN      M-----   02  
 L09                  0.425       IN      M-----   02  
 L10                  0.430       IN      M-----   02  
 L11                  0.428       IN      M-----   02  
 L12                  0.429       IN      M-----   02  
 L13                  0.423       IN      M-----   02  
 L14                  0.423       IN      M-----   02  
 L15                  0.420       IN      M-----   02  
 M01                  0.402       IN      M-----   02  
 M02                  0.394       IN      M-----   02  
 M03                  0.393       IN      M-----   02  
 M04                  0.387       IN      M-----   02  
 M05                  0.396       IN      M-----   02  
 M06                  0.438       IN      M-----   02  
 M07                  0.431       IN      M-----   02  
 M08                  0.425       IN      M-----   02  
 M09                  0.427       IN      M-----   02  
 M10                  0.425       IN      M-----   02  
 M11                  0.426       IN      M-----   02  
 M12                  0.432       IN      M-----   02  
 M13                  0.434       IN      M-----   02  
 M14                  0.425       IN      M-----   02  
 M15                  0.423       IN      M-----   02  
  OK

 SU #  VEL(/uS) DIFF   LO-ALM  HI-ALM  EXT-BLANK  UNITS  TRANSDUCER  GAIN dB
 01    0.2260   0.000  0.000   0.000     0.000     IN    D790/791       51 
 02    0.2330   0.000  0.000   25.000    0.000     IN    D790/791       51 
 OK

CODE     COMMENT
 OK
Filename: 2427E09.txt
Operator: 
Location:  
Date: 
Time: 
Probe ID: 
Comments: 





